year,car name,transmission,sun roof,auto retract mirror,electric parking brake,vehicle stability control,auto cruise control,price (Rp)
2017,154,0,0,1,0,1,0,201000000
2020,148,0,0,1,0,1,0,210000000
2019,36,0,0,0,0,0,0,156000000
2019,99,0,0,0,0,0,0,172000000
2019,155,0,0,0,0,1,0,191000000
2019,116,0,0,1,0,0,0,212000000
2016,99,0,0,0,0,0,0,145000000
2018,77,0,0,1,1,0,0,232000000
2021,114,0,0,1,0,0,0,239000000
2017,53,0,0,1,0,0,0,248000000
2019,36,0,0,0,0,0,0,154000000
2019,80,0,0,1,1,0,0,266000000
2019,156,0,0,1,0,0,0,218000000
2021,110,0,0,1,0,1,0,216000000
2018,36,0,0,0,0,0,0,142000000
2020,116,0,0,1,0,1,0,232000000
2021,156,0,0,1,0,0,0,240000000
2021,14,0,1,0,0,0,0,241000000
2018,116,0,0,1,0,1,0,207000000
2019,52,0,1,0,1,0,0,178000000
2018,154,0,0,1,0,1,0,211000000
2018,7,0,0,0,0,0,0,126000000
2020,36,0,0,0,0,0,0,159000000
2022,9,0,0,1,0,0,0,154000000
2020,23,0,0,0,0,0,0,136000000
2018,115,0,0,1,0,1,0,211000000
2016,77,0,0,1,0,0,0,210000000
2016,77,0,0,1,0,0,0,211000000
2018,78,0,0,0,1,0,1,255000000
2015,1,0,0,1,0,0,0,184000000
2019,116,0,0,1,0,0,0,219000000
2017,91,0,0,0,0,0,0,248000000
2016,139,0,0,0,0,0,0,190000000
2018,77,0,0,1,0,0,0,236000000
2020,35,0,0,1,0,0,0,183000000
2018,35,0,0,1,0,0,0,151000000
2021,110,0,0,1,0,0,0,218000000
2018,116,0,0,1,0,1,0,213000000
2018,120,0,0,1,0,0,0,199000000
2017,132,0,0,1,0,0,0,169000000
2018,154,0,0,1,0,1,0,211000000
2019,65,0,0,1,0,1,0,196000000
2017,82,0,0,1,0,0,0,129000000
2016,125,0,0,0,0,0,0,111000000
2016,3,0,0,1,0,1,0,174000000
2018,78,0,0,1,0,0,0,256000000
2018,78,0,0,1,0,0,0,258000000
2019,153,0,0,1,0,0,0,210000000
2016,30,0,0,1,0,0,0,164000000
2017,41,0,0,1,0,0,0,205000000
2018,91,0,0,0,0,0,0,261000000
2018,23,0,0,0,0,0,0,120000000
2018,35,0,0,1,0,0,0,151000000
2020,36,0,0,0,0,0,0,162000000
2018,78,0,0,1,1,0,0,258000000
2021,42,0,0,1,0,0,0,262000000
2019,77,0,0,1,0,0,0,261000000
2015,3,0,0,1,0,1,0,162000000
2015,3,0,0,1,0,1,0,166000000
2018,154,0,0,1,0,0,0,212000000
2018,154,0,0,1,0,0,0,213000000
2019,95,0,0,1,0,0,0,199000000
2019,116,0,0,1,0,1,0,221000000
2019,116,0,0,1,0,1,0,219000000
2019,135,0,0,1,0,0,0,203000000
2013,143,0,0,0,0,0,0,106000000
2018,31,0,0,0,0,0,0,182000000
2014,76,0,0,0,0,0,0,100000000
2018,77,0,0,1,1,0,0,224000000
2015,101,0,0,0,0,0,0,139000000
2019,24,0,0,0,0,0,0,118000000
2017,112,0,0,0,0,0,0,161000000
2013,61,0,0,0,0,0,0,111000000
2018,39,0,0,0,0,0,0,112000000
2022,109,0,0,1,0,0,0,216000000
2018,90,0,0,1,0,0,0,314000000
2017,99,0,0,0,0,0,0,157000000
2018,153,0,0,1,0,0,0,201000000
2018,154,0,0,1,0,1,0,209000000
2016,33,0,0,0,0,0,0,131000000
2017,92,0,0,1,0,0,0,278000000
2021,8,0,0,1,0,0,0,145000000
2021,148,0,0,1,0,1,0,221000000
2018,28,0,0,1,0,0,0,165000000
2021,42,0,0,1,0,0,0,262000000
2018,91,0,0,1,0,0,0,255000000
2018,154,0,0,1,0,0,0,213000000
2021,17,0,0,1,1,0,0,220000000
2018,83,0,0,0,0,0,0,125000000
2018,152,0,0,0,0,0,0,194000000
2021,106,0,0,1,0,0,0,224000000
2016,94,0,0,1,0,0,0,255000000
2017,59,0,0,1,0,0,0,155000000
2019,28,0,0,1,0,0,0,181000000
2017,35,0,0,1,0,0,0,143000000
2019,36,0,0,0,0,0,0,156000000
2017,30,0,0,1,0,0,0,169000000
2016,132,0,0,1,0,0,0,158000000
2014,101,0,0,0,0,0,0,146000000
2018,154,0,0,1,0,1,0,212000000
2015,140,0,0,0,0,0,0,199000000
2017,36,0,0,0,0,0,0,137000000
2019,36,0,0,0,0,0,0,156000000
2015,4,0,0,0,0,0,0,110000000
2020,101,0,0,1,0,0,0,193000000
2020,36,0,0,0,0,0,0,162000000
2021,149,0,0,1,0,1,0,209000000
2017,154,0,0,1,0,1,0,203000000
2020,35,0,0,1,0,0,0,181000000
2018,154,0,0,1,0,1,0,212000000
2019,39,0,0,0,0,0,0,132000000
2013,94,0,0,1,0,0,0,178000000
2021,51,0,0,0,0,0,0,179000000
2020,36,0,0,0,0,0,0,163000000
2017,120,0,0,1,0,1,0,186000000
2018,36,0,0,0,0,0,0,149000000
2020,156,0,0,1,0,0,0,228000000
2016,36,0,0,0,0,0,0,127000000
2018,153,0,0,1,0,1,0,198000000
2019,64,0,0,1,0,0,0,183000000
2017,91,0,0,1,0,0,0,251000000
2017,121,0,0,1,0,0,0,174000000
2020,35,0,0,1,0,0,0,185000000
2020,36,0,0,0,0,0,0,162000000
2019,32,0,0,1,0,1,0,210000000
2021,42,0,0,1,0,1,0,270000000
2020,78,0,0,1,1,0,0,282000000
2016,140,0,0,1,0,0,0,210000000
2016,60,0,0,1,0,0,0,158000000
2017,29,0,0,1,0,0,0,223000000
2018,55,0,0,1,0,0,0,278000000
2018,154,0,0,1,0,0,1,214000000
2017,96,0,0,0,0,0,0,121000000
2017,142,0,0,0,0,0,0,138000000
2017,153,0,0,1,0,0,0,197000000
2020,64,0,0,1,0,0,0,197000000
2018,144,0,0,0,0,0,0,156000000
2019,19,0,0,1,0,0,0,179000000
2019,36,0,0,0,0,0,0,156000000
2019,119,0,0,0,0,0,0,187000000
2018,36,0,0,0,0,0,0,141000000
2019,36,0,0,0,0,0,0,158000000
2019,30,0,0,1,0,0,0,203000000
2014,100,0,0,0,0,0,0,138000000
2018,119,0,0,0,0,0,0,168000000
2018,154,0,0,1,0,0,1,212000000
2018,23,0,0,0,0,0,0,124000000
2014,97,0,0,0,0,1,0,126000000
2018,116,0,0,1,0,1,0,212000000
2017,96,0,0,0,0,0,0,124000000
2019,92,0,0,1,0,0,0,315000000
2019,152,0,0,1,0,0,0,205000000
2014,99,0,0,0,0,0,0,132000000
2023,117,0,0,0,0,1,0,145000000
2014,88,0,0,0,0,0,0,180000000
2017,82,0,0,1,0,0,0,129000000
2019,154,0,0,1,0,0,1,222000000
2020,138,0,0,0,0,0,0,204000000
2019,7,0,0,0,0,0,0,135000000
2018,36,0,0,0,0,0,0,146000000
2018,153,0,0,1,0,0,0,203000000
2018,154,0,0,1,0,0,0,214000000
2018,154,0,0,1,0,1,0,215000000
2019,154,0,0,1,0,0,1,224000000
2019,154,0,0,1,0,0,1,223000000
2016,90,0,0,1,0,0,0,285000000
2017,28,0,0,1,0,0,0,161000000
2017,92,0,0,1,0,0,0,277000000
2019,35,0,0,0,0,0,0,180000000
2019,121,0,0,1,0,0,0,198000000
2019,152,0,0,1,0,0,0,206000000
2018,154,0,0,1,0,1,0,211000000
2018,7,0,0,0,0,0,0,132000000
2018,116,0,0,1,0,0,0,213000000
2013,96,0,0,0,0,0,0,96000000
2015,99,0,0,1,0,0,0,141000000
2019,35,0,0,1,0,0,0,180000000
2020,35,0,0,0,0,0,0,188000000
2018,156,0,0,1,0,0,0,211000000
2015,133,0,0,1,0,0,0,154000000
2018,21,0,0,0,0,0,0,170000000
2018,116,0,0,1,0,1,0,213000000
2020,36,0,0,0,0,0,0,166000000
2020,135,0,0,1,0,0,0,217000000
2018,35,0,0,1,0,0,0,152000000
2019,130,0,0,0,0,1,0,139000000
2019,95,0,0,1,0,1,0,201000000
2018,36,0,0,0,0,0,0,155000000
2018,36,0,0,0,0,0,0,144000000
2017,154,0,0,1,0,0,0,211000000
2018,154,0,0,1,0,1,0,213000000
2021,8,0,0,1,0,0,0,148000000
2020,18,0,0,0,0,0,0,172000000
2016,88,0,0,0,0,0,0,242000000
2017,91,0,0,0,0,0,0,261000000
2016,36,0,0,0,0,0,0,131000000
2014,33,0,0,0,0,0,0,121000000
2020,36,0,0,0,0,0,0,164000000
2014,57,0,1,0,0,0,0,200000000
2019,65,0,0,1,0,1,0,201000000
2022,36,0,0,0,0,0,0,172000000
2021,105,0,0,1,0,0,0,223000000
2018,81,0,0,0,0,0,0,130000000
2016,3,0,0,1,0,0,0,190000000
2018,88,0,0,1,0,0,0,263000000
2019,32,0,0,1,0,0,0,213000000
2019,36,0,0,0,0,0,0,160000000
2019,36,0,0,0,0,0,0,159000000
2014,58,0,0,0,0,0,0,121000000
2017,154,0,0,0,0,0,0,209000000
2015,72,0,0,0,0,0,0,132000000
2016,118,0,0,0,0,0,0,224000000
2022,111,0,0,0,0,0,0,200000000
2021,128,0,0,0,0,0,0,177000000
2019,134,0,0,0,0,0,0,209000000
2019,70,0,0,0,0,0,0,105000000
2015,100,0,0,0,0,0,0,144000000
2016,35,0,0,0,0,0,0,141000000
2018,154,0,0,0,0,0,0,209000000
2019,151,0,0,0,0,0,0,235000000
2014,73,0,0,0,0,0,0,137000000
2016,75,0,0,0,0,0,0,135000000
2017,73,0,0,0,0,0,0,148000000
2017,73,0,0,0,0,0,0,156000000
2015,56,0,0,0,0,0,0,258000000
2019,36,0,0,0,0,0,0,161000000
2019,36,0,0,0,0,0,0,160000000
2019,36,0,0,0,0,0,0,159000000
2020,35,0,0,0,0,0,0,185000000
2017,30,0,0,0,0,0,0,175000000
2018,154,0,0,0,0,0,0,212000000
2018,154,0,0,0,0,0,0,212000000
2018,154,0,0,0,0,0,0,212000000
2018,154,0,0,0,0,0,0,212000000
2014,19,0,0,0,0,0,0,122000000
2018,19,0,0,0,0,0,0,161000000
2019,19,0,0,0,0,0,0,181000000
2019,19,0,0,0,0,0,0,182000000
2018,39,0,0,0,0,0,0,124000000
2013,88,0,0,0,0,0,0,171000000
2021,109,0,0,0,0,0,0,210000000
2018,116,0,0,0,0,0,0,212000000
2016,121,0,0,0,0,0,0,174000000
2018,121,0,0,0,0,0,0,186000000
2019,156,0,0,0,0,0,0,221000000
2017,153,0,0,0,0,0,0,199000000
2018,154,0,0,0,0,0,0,210000000
2019,91,0,0,0,0,0,0,281000000
2016,0,0,0,0,0,0,0,187000000
2017,84,0,0,0,0,0,1,210000000
2019,95,0,0,0,0,0,0,179000000
2018,156,0,0,1,0,0,0,202000000
2020,36,0,0,0,0,0,0,151000000
2016,77,0,0,0,1,0,0,195000000
2018,134,0,0,0,0,1,0,187000000
2021,19,0,0,1,0,0,0,174000000
2019,95,0,0,1,0,0,0,206000000
2018,101,0,0,1,0,0,0,173000000
2019,80,0,0,1,1,0,0,258000000
2018,36,0,0,0,0,0,0,136000000
2014,63,0,0,0,0,0,0,129000000
2016,99,0,0,0,0,0,0,144000000
2019,7,0,0,0,0,0,0,128000000
2021,39,0,0,1,0,0,0,142000000
2021,77,0,0,1,0,0,1,282000000
2014,67,0,0,1,0,0,0,282000000
2017,79,0,0,1,0,1,0,197000000
2019,132,0,0,1,0,0,0,192000000
2018,63,0,0,1,0,0,0,160000000
2020,127,0,0,0,0,0,0,131000000
2019,13,0,0,1,0,0,0,203000000
2021,42,0,0,1,0,0,0,262000000
2019,30,0,0,1,0,0,0,194000000
2019,65,0,0,1,0,1,0,192000000
2018,81,0,0,0,0,0,0,126000000
2018,1,0,0,1,0,0,1,209000000
2021,22,0,0,1,0,0,0,222000000
2021,36,0,0,0,0,0,0,164000000
2019,82,0,0,1,0,0,0,141000000
2017,77,0,0,1,0,0,0,219000000
2017,154,0,0,1,0,1,0,207000000
2015,43,0,0,1,0,0,0,199000000
2021,108,0,0,1,0,0,0,224000000
2016,39,0,0,0,0,0,0,113000000
2018,99,0,0,0,0,0,0,164000000
2019,77,0,0,1,0,0,0,265000000
2019,36,0,0,0,0,0,0,154000000
2021,114,0,0,1,0,1,0,242000000
2020,150,0,0,0,0,0,0,188000000
2021,149,0,0,1,0,1,0,208000000
2019,5,0,0,0,0,0,0,128000000
2020,36,0,0,0,0,0,0,160000000
2014,141,0,0,1,0,0,0,173000000
2022,39,0,0,1,0,0,0,151000000
2020,39,0,0,1,0,0,0,137000000
2020,39,0,0,1,0,0,0,142000000
2019,35,0,0,1,0,0,0,178000000
2017,77,0,0,1,0,0,0,219000000
2014,85,0,0,1,0,0,0,146000000
2018,7,0,0,0,0,0,0,127000000
2018,116,0,0,1,0,1,0,214000000
2018,154,0,0,1,0,0,1,213000000
2021,111,0,0,1,0,1,0,191000000
2017,22,0,0,0,0,0,0,164000000
2019,82,0,0,1,0,0,0,134000000
2018,18,0,0,0,0,0,0,130000000
2017,129,0,0,0,0,0,0,124000000
2012,129,0,0,0,0,0,0,88000000
2017,99,0,0,0,0,0,0,154000000
2019,77,0,0,1,1,0,0,264000000
2017,39,0,0,0,0,0,0,120000000
2019,36,0,0,0,0,0,0,156000000
2018,30,0,0,1,0,0,0,184000000
2019,154,0,0,1,0,0,1,222000000
2018,154,0,0,1,0,0,0,213000000
2014,66,0,0,1,0,0,0,274000000
2016,98,0,0,0,0,0,0,112000000
2018,132,0,0,1,0,0,0,184000000
2021,156,0,0,1,0,0,0,244000000
2017,120,0,0,1,0,0,0,187000000
2015,86,0,0,0,0,0,0,86000000
2021,110,0,0,1,0,0,0,220000000
2018,54,0,0,0,0,1,0,112000000
2013,74,0,0,0,0,0,0,95000000
2020,32,0,0,1,0,0,0,214000000
2015,1,0,0,0,0,0,0,181000000
2018,154,0,0,1,0,1,0,210000000
2019,13,0,0,0,1,0,0,204000000
2015,140,0,0,1,0,0,0,209000000
2016,132,0,0,1,0,0,0,160000000
2017,36,0,0,0,0,0,0,132000000
2010,68,0,0,1,0,0,0,129000000
2022,132,0,0,0,0,0,0,241000000
2018,19,0,0,0,0,0,0,160000000
2017,119,0,0,0,0,0,0,163000000
2018,36,0,0,0,0,0,0,142000000
2019,2,0,0,1,0,0,1,220000000
2021,8,0,0,1,0,0,0,147000000
2015,72,0,0,0,0,0,0,131000000
2016,139,0,0,1,0,0,0,199000000
2015,4,0,0,0,0,0,0,100000000
2019,82,0,0,0,0,0,0,145000000
2019,91,0,0,0,0,0,0,278000000
2019,154,0,0,1,0,0,1,222000000
2016,35,0,0,1,0,0,0,142000000
2018,35,0,0,1,0,0,0,155000000
2017,99,0,0,0,0,0,0,159000000
2019,116,0,0,1,0,0,0,224000000
2017,120,0,0,1,0,0,0,191000000
2017,125,0,0,0,0,0,0,121000000
2020,150,0,0,0,0,0,0,192000000
2020,36,0,0,0,0,0,0,165000000
2018,116,0,0,1,0,1,0,210000000
2017,82,0,0,1,0,0,0,131000000
2016,0,0,0,1,0,0,0,184000000
2020,148,0,0,1,0,0,0,218000000
2019,95,0,0,1,0,1,0,202000000
2013,69,0,0,0,0,0,0,158000000
2018,5,0,0,0,0,0,0,122000000
2020,22,0,0,1,0,0,0,204000000
2021,107,0,0,1,0,0,0,234000000
2019,7,0,0,0,0,0,0,136000000
2022,131,0,0,1,0,0,0,246000000
